institution,codigo,name,classification,type,departamento,provincia,distrito,ubigeo,address,codigo_DISA,red,microred,category,phone,opening_hours,longitude,latitude
Gobierno Regional,7727,San Juan de Dios,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros San Juan de Dios S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,9,I-1,SN,8:00 - 14:00,-78.52921244,-5.35602547
Gobierno Regional,5062,Zapotal,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Zapotal S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,9,I-1,SN,8:00 - 14:00,-78.5161875,-5.36977385
Gobierno Regional,5061,Shaim,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Shaim S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,2,I-1,SN,8:00 - 14:00,-78.48746756,-5.23914833
Gobierno Regional,5060,La Libertad,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros la Libertad S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,9,I-1,730387,8:00 - 14:00,-78.48675871,-5.44720018
Gobierno Regional,5055,Copallin de Aramango,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Copallin de Aramango S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,10,I-1,SN,8:00  A  18:00,-78.45834617,-5.45976793
Gobierno Regional,5056,El Muyo,Centros de salud o centros medicos,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros El Muyo S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,9,I-3,730388,8:00 - 14:00,-78.45594658,-5.41944618
Gobierno Regional,5059,Tutumberos,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Tutumberos S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,2,I-1,SN,8:00 - 14:00,-78.4546586,-5.33835873
Gobierno Regional,7229,Santa Clara,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Santa Clara S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,10,I-1,SN,8:00 - 14:00,-78.4515685,-5.48178344
Gobierno Regional,7008,Chinganza,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Chinganza S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,2,I-1,SN,8:00 - 13:00,-78.45039335,-5.36293198
Gobierno Regional,7010,Campo Bonito,Puestos de salud o postas de salud,Establecimiento de salud sin internamiento,Amazonas,Bagua,Aramango,10202,Otros Campo Bonito S/N Numero S/N Distrito Aramango Provincia Bagua Departamento Amazonas ,1,2,10,I-1,SN,8:00 - 14:00,-78.44629382,-5.5074241
