institucion,codigo,nombre _establecimiento,clasificacion,tipo,departamento,provincia,distrito,ubigeo,direccion,codigo_DISA,codigo_red,codigo_microrred,categoria,telefono,horario,longitude,latitude
GOBIERNO REGIONAL,6659,ALTO AMAZONAS,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,CAJARURO,10702,OTROS ALTO AMAZONAS S/N NUMERO S/N DISTRITO CAJARURO PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,3,I-3,41475205,8:00 - 20:00,-78.77377,-6.32522
GOBIERNO REGIONAL,4856,BALZAS,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,CHACHAPOYAS,BALSAS,10103,AVENIDA AVENIDA PRINCIPAL S/N - CENTRO POBLADO BALZAS NUMERO S/N DISTRITO BALSAS PROVINCIA CHACHAPOYAS DEPARTAMENTO AMAZONAS ,1,1,24,I-3,041-477044,8:00 - 18:00,-78.75454,-6.41709
GOBIERNO REGIONAL,6808,SIEMPRE VIVA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,AVENIDA AVENIDA PRINCIPAL S/N - CENTRO POBLADO SIEMPRE VIVA NUMERO S/N DISTRITO EL MILAGRO PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,6,I-1,41475205,8:00 - 14:00,-78.66342793,-5.749209
GOBIERNO REGIONAL,5111,CUMBA,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,CUMBA,10703,OTROS CUMBA S/N NUMERO S/N DISTRITO CUMBA PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-3,41475205,8:00 - 20:00,-78.66323147,-5.93367299
GOBIERNO REGIONAL,5114,TACTAGO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,CUMBA,10703,OTROS ANEXO TACTAGO S/N NUMERO S/N DISTRITO CUMBA PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-1,41475205,8:00 - 14:00,-78.62884933,-5.98075267
GOBIERNO REGIONAL,6806,EL REJO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,CUMBA,10703,OTROS EL REJO S/N NUMERO S/N DISTRITO CUMBA PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-1,41475205,8:00 - 14:00,-78.62288,-5.862675
GOBIERNO REGIONAL,6789,EL REPOSO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,AVENIDA AVENIDA PRINCIPAL S/N - CENTRO POBLADO EL REPOSO NUMERO S/N DISTRITO EL MILAGRO PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,6,I-1,41475205,8:00 - 14:00,-78.61453189,-5.71755652
GOBIERNO REGIONAL,5118,MALLETA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,YAMON,10707,OTROS MALLETA S/N NUMERO S/N DISTRITO YAMON PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-1,41475205,8:00 - 14:00,-78.59984721,-6.06581685
GOBIERNO REGIONAL,7250,VISTA HERMOZA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,CUMBA,10703,OTROS SECTOR ANEXO VISTA HERMOZA S/N - CENTRO POBLADO VISTA HERMOZA NUMERO S/N DISTRITO CUMBA PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-1,41475205,8:00 - 14:00,-78.59523241,-5.93349322
GOBIERNO REGIONAL,5077,TUNTUS,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,IMAZA,10205,OTROS COMUNIDAD NATIVA ALTO TUNTUS S/N NUMERO S/N DISTRITO IMAZA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,7,I-1,SN,8:00 - 14:00,-78.59098482,-4.66263425
GOBIERNO REGIONAL,5113,HUALANGO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,CUMBA,10703,AVENIDA AVENIDA PRINCIPAL S/N - CENTRO POBLADO HUALANGO NUMERO S/N DISTRITO CUMBA PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-2,41475205,8:00 - 14:00,-78.58104974,-5.96635088
GOBIERNO REGIONAL,5068,SAN PEDRO DE LA PAPAYA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,AVENIDA AVENIDA PRINCIPAL S/N - CENTRO POBLADO SAN PEDRO DE LA PAPAYA NUMERO S/N DISTRITO EL MILAGRO PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,6,I-1,41475205,08:00 - 14:00,-78.57345833,-5.59596667
GOBIERNO REGIONAL,7364,OCTUCHO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,CUMBA,10703,CALLE CALLE PRINCIPAL S/N NUMERO S/N DISTRITO CUMBA PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-1,41475205,8:00 - 14:00,-78.56885121,-5.99695772
GOBIERNO REGIONAL,5131,JAHUANGA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,10701,OTROS JAHUANGA S/N NUMERO S/N DISTRITO BAGUA GRANDE PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,1,I-1,41475205,8:00 - 14:00,-78.56321359,-5.77477085
GOBIERNO REGIONAL,5066,EL MILAGRO,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,PASAJE PASAJE LA POSTA - CARRETERA A HUARANGOPAMPA -  EL MILAGRO DISTRITO EL MILAGRO PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,6,I-3,41475205,8:00 - 14:00,-78.562425,-5.63853
GOBIERNO REGIONAL,5112,NUEVA ESPERANZA,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,CUMBA,10703,CALLE CALLE  PRINCIPAL S/N NUMERO S/N DISTRITO CUMBA PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-3,41475205,8:00 - 20:00,-78.56145421,-5.91551565
GOBIERNO REGIONAL,7759,CASUAL,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,OTROS CENTRO POBLADO CASUAL DISTRITO BAGUA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,6,I-1,SN,8:00 - 14:00,-78.55292425,-5.58867832
GOBIERNO REGIONAL,6807,MIRAFLORES,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,CUMBA,10703,OTROS MIRAFLORES S/N NUMERO S/N DISTRITO CUMBA PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-1,41475205,8:00 - 14:00,-78.55019649,-5.94397115
GOBIERNO REGIONAL,7007,ACERILLO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,OTROS ANEXO ACERILLO S/N NUMERO S/N DISTRITO BAGUA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,6,I-1,SN,8:00 - 14:00,-78.54861946,-5.53913422
GOBIERNO REGIONAL,5132,NUEVO HORIZONTE,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,10701,CALLE CALLE PRINCIPAL S/N NUMERO S/N DISTRITO BAGUA GRANDE PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,1,I-1,41475205,8:00 - 14:00,-78.54122,-5.82542
GOBIERNO REGIONAL,7276,LA PRIMAVERA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,OTROS SECTOR LA PRIMAVERA DISTRITO BAGUA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,6,I-1,SN,8:00 - 14:00,-78.54057436,-5.63474476
GOBIERNO REGIONAL,5076,YANAT,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,IMAZA,10205,OTROS COMUNIDAD NATIVA DE YANAT S/N NUMERO S/N DISTRITO IMAZA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,7,I-1,SN,8:00 - 14:00,-78.53825863,-4.94334959
GOBIERNO REGIONAL,7225,MORROPON,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,10701,OTROS ANEXO MORROPON S/N NUMERO S/N DISTRITO BAGUA GRANDE PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,1,I-1,41475205,8:00 - 14:00,-78.53821932,-5.75074114
GOBIERNO REGIONAL,5115,VISTA ALEGRE DE YAMON,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,YAMON,10707,AVENIDA AVENIDA PRINCIPAL S/N - CENTRO POBLADO VISTA ALEGRE DE YAMON NUMERO S/N DISTRITO YAMON PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-3,41475205,8:00 - 14:00,-78.53735036,-5.99768818
GOBIERNO REGIONAL,7310,LA FLOR,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,CUMBA,10703,AVENIDA AVENIDA PRINCIPAL S/N - CENTRO POBLADO LA FLOR NUMERO S/N DISTRITO CUMBA PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-1,41475205,8:00 - 14:00,-78.53529323,-5.91313735
ESSALUD,9068,HOSPITAL I HEROES DEL CENEPA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,JR. LAMBAYEQUE N° 517,1,0,0,II-1,041-471424,24 HORAS,-78.53341476,-5.63313044
SANIDAD DE LA POLICIA NACIONAL DEL PERU,12954,PUESTO DE SALUD  PNP - BAGUA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,PASAJE PSJ  ALFONSO UGARTE 193 DISTRITO BAGUA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,0,0,I-2,41471225,08:00 - 14:00,-78.53230619,-5.63918393
GOBIERNO REGIONAL,6998,BAGUA,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,JIR0N JIRON AYACUCHO N° 1740 - BAGUA CAPITAL DISTRITO BAGUA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,6,I-3,SN,8:00 - 20:00,-78.53222414,-5.6313198
PRIVADO,14068,EMPRESA PRESTADORA DE SERVICIOS DE SALUD  CONSULTORIOS MEDICOS ESPECIALIZADOS PASTEUR SRL.,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,JR COMERCIO 479 BAGUA-AMAZONAS,1,0,0,Sin categoria,041-471721,07:00  21:00,-78.53203895,-5.64020963
GOBIERNO REGIONAL,5044,HOSPITAL DE APOYO GUSTAVO LANATTA LUJAN,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,AVENIDA AVENIDA HEROES DEL CENEPA N° 980 - BAGUA CAPITAL AVENIDA HEROES DEL CENEPA N° 980 - BAGUA CAPITAL BAGUA BAGUA AMAZONAS ,1,2,0,II-1,041-771159,24 HORAS,-78.53075225,-5.63951591
GOBIERNO REGIONAL,14477,LABORATORIO DE REFERENCIA REGIONAL  EN SALUD PUBLICA BAGUA,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,AVENIDA HEROES CENEPA N°980 BAGUA,1,2,6,Sin categoria,041-471604,8:00-13:00 Y 14:30-1,-78.53001363,-5.63862723
GOBIERNO REGIONAL,7727,SAN JUAN DE DIOS,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,ARAMANGO,10202,OTROS SAN JUAN DE DIOS S/N NUMERO S/N DISTRITO ARAMANGO PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,9,I-1,SN,8:00 - 14:00,-78.52921244,-5.35602547
GOBIERNO REGIONAL,5116,YAMON,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,YAMON,10707,OTROS YAMON S/N NUMERO S/N DISTRITO YAMON PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-1,41475205,8:00 - 14:00,-78.52898667,-6.05104667
GOBIERNO REGIONAL,5081,WAYAMPIAK,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,IMAZA,10205,OTROS COMUNIDAD NATIVA WAYAMPIAK S/N NUMERO S/N DISTRITO IMAZA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,7,I-3,SN,8:00 - 16:00,-78.52249417,-4.86901258
GOBIERNO REGIONAL,5078,CHIJA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,IMAZA,10205,OTROS COMUNIDAD NATIVA DE CHIJA S/N NUMERO S/N DISTRITO IMAZA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,7,I-1,SN,8:00 - 14:00,-78.52230725,-4.77071028
GOBIERNO REGIONAL,5069,HUARANGOPAMPA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,AVENIDA AVENIDA PRINCIPAL S/N - CENTRO POBLADO DE HUARANGOPAMPA NUMERO S/N DISTRITO EL MILAGRO PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,6,I-1,41475205,8:00 - 14:00,-78.520234,-5.675202
GOBIERNO REGIONAL,7141,PUEBLO NUEVO DE YAMON,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,YAMON,10707,OTROS SECTOR - ANEXO PUEBLO NUEVO DE YAMON - CENTRO POBLADO PUEBLO NUEVO DE YAMON DISTRITO YAMON PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-1,41475205,8:00 - 14:00,-78.51951167,-6.03342667
GOBIERNO REGIONAL,7200,EL PINTOR,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,10701,OTROS EL PINTOR S/N NUMERO S/N DISTRITO BAGUA GRANDE PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,1,I-1,41475205,8:00 - 14:00,-78.51662833,-5.76497833
GOBIERNO REGIONAL,5062,ZAPOTAL,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,ARAMANGO,10202,OTROS ZAPOTAL S/N NUMERO S/N DISTRITO ARAMANGO PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,9,I-1,SN,8:00 - 14:00,-78.5161875,-5.36977385
GOBIERNO REGIONAL,5048,TOMAQUE,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,OTROS TOMAQUE S/N NUMERO S/N DISTRITO BAGUA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,6,I-1,sn,8:00 - 14:00,-78.50558236,-5.64934727
GOBIERNO REGIONAL,5080,SIJIAK,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,IMAZA,10205,OTROS COMUNIDAD NATIVA DE SIJIAK S/N NUMERO S/N DISTRITO IMAZA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,7,I-1,SN,8:00 - 14:00,-78.50087132,-4.92345364
GOBIERNO REGIONAL,5045,ESPITAL,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,OTROS ESPITAL S/N NUMERO S/N DISTRITO BAGUA PROVINCIA BAGUA DEPARTAMENTO AMAZONAS ,1,2,6,I-1,sn,8:00 - 14:00,-78.49993273,-5.51853027
GOBIERNO REGIONAL,5128,BUENA VISTA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,10701,OTROS BUENA VISTA S/N NUMERO S/N DISTRITO BAGUA GRANDE PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,1,I-2,41475205,8:00 - 14:00,-78.49864,-5.85291833
GOBIERNO REGIONAL,7300,NARANJOS,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,OTROS CENTRO POBLADO MENOR NARANJOS CENTRO POBLADO MENOR NARANJOS BAGUA BAGUA AMAZONAS ,1,2,6,I-1,SN,8:00 - 14:00,-78.49669412,-5.49428538
GOBIERNO REGIONAL,5117,EL PALTO,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,YAMON,10707,OTROS EL PALTO S/N NUMERO S/N DISTRITO YAMON PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,7,I-3,41475205,8:00 - 14:00,-78.49454289,-6.01312262
GOBIERNO REGIONAL,7287,MIRAFLORES DE BUENAVISTA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,10701,AVENIDA AVENIDA PRINCIPAL S/N - CENTRO POBLADO MIRAFLORES DE BUENA VISTA NUMERO S/N DISTRITO BAGUA GRANDE PROVINCIA UTCUBAMBA DEPARTAMENTO AMAZONAS ,1,3,1,I-1,41475205,8:00 - 14:00,-78.49253911,-5.87684947
